"Well","Sample","Weight","Replicate","Time","Hour","PCheck","Plate","fileName","values","MatchValue","CtrlVal","ABStrt_ABSctr","AbsFreshWeight","Genotype","Range","Site"
"C03","W0127",0.0214,3,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0501,"W0127.0hr",0.0433,0.0068,0.317757009345794,"LDSc3-07","Native","LDS"
"C04","W0128",0.0456,1,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0522,"W0128.0hr",0.0439,0.0083,0.182017543859649,"SAN20-05","Native","SAN"
"C05","W0128",0.0456,2,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.051,"W0128.0hr",0.0439,0.0071,0.155701754385965,"SAN20-05","Native","SAN"
"C06","W0128",0.0456,3,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0516,"W0128.0hr",0.0439,0.0077,0.168859649122807,"SAN20-05","Native","SAN"
"C07","W0517",0.0181,1,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0639,"W0517.0hr",0.0449,0.019,1.04972375690608,"ARC29-01","Invasive","ARC"
"C08","W0517",0.0181,2,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0558,"W0517.0hr",0.0449,0.0109,0.602209944751381,"ARC29-01","Invasive","ARC"
"C09","W0517",0.0181,3,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0664,"W0517.0hr",0.0449,0.0215,1.1878453038674,"ARC29-01","Invasive","ARC"
"C10","W0518",0.0121,1,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0512,"W0518.0hr",0.044,0.00720000000000001,0.59504132231405,"MUSs2-05","Native","MUS"
"C11","W0518",0.0121,2,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0508,"W0518.0hr",0.044,0.0068,0.56198347107438,"MUSs2-05","Native","MUS"
"C12","W0518",0.0121,3,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0508,"W0518.0hr",0.044,0.0068,0.56198347107438,"MUSs2-05","Native","MUS"
"D01","W0130",0.0258,1,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0497,"W0130.0hr",0.0438,0.0059,0.228682170542636,"ARC26","Invasive","ARC"
"D02","W0130",0.0258,2,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0502,"W0130.0hr",0.0438,0.0064,0.248062015503876,"ARC26","Invasive","ARC"
