"Well","Sample","Weight","Replicate","Time","Hour","PCheck","Plate","fileName","values","MatchValue","CtrlVal","ABStrt_ABSctr","AbsFreshWeight","Genotype","Range","Site"
"G04","W0479",0.015,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0615,"WO479.0hr",0.0422,0.0193,1.28666666666667,"CDCc2-09","Native","CDC"
"G05","W0479",0.015,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0619,"WO479.0hr",0.0422,0.0197,1.31333333333333,"CDCc2-09","Native","CDC"
"G06","W0479",0.015,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0617,"WO479.0hr",0.0422,0.0195,1.3,"CDCc2-09","Native","CDC"
"G07","W0480",0.0115,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0465,"W0480.0hr",0.0442,0.0023,0.2,"HIG15-02","Native","HIG"
"G08","W0480",0.0115,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.046,"W0480.0hr",0.0442,0.0018,0.156521739130434,"HIG15-02","Native","HIG"
"G09","W0480",0.0115,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0461,"W0480.0hr",0.0442,0.0019,0.165217391304348,"HIG15-02","Native","HIG"
"G10","W0116",0.0085,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0395,"W0116.0hr",0.043,-0.0035,-0.411764705882352,"NARc3-08","Native","NAR"
"G11","W0116",0.0085,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0396,"W0116.0hr",0.043,-0.00339999999999999,-0.399999999999999,"NARc3-08","Native","NAR"
"G12","W0116",0.0085,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0397,"W0116.0hr",0.043,-0.0033,-0.388235294117647,"NARc3-08","Native","NAR"
"H01","W0117",0.0109,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0439,"W0117.0hr",0.0426,0.0013,0.119266055045872,"HIG16-01","Native","HIG"
"H02","W0117",0.0109,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0446,"W0117.0hr",0.0426,0.002,0.18348623853211,"HIG16-01","Native","HIG"
"H03","W0117",0.0109,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0515,"W0117.0hr",0.0426,0.0089,0.81651376146789,"HIG16-01","Native","HIG"
"H04","W0118",0.0247,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0403,"W0118.0hr",0.046,-0.0057,-0.230769230769231,"CDCc2-13","Native","CDC"
"H05","W0118",0.0247,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0394,"W0118.0hr",0.046,-0.0066,-0.267206477732794,"CDCc2-13","Native","CDC"
"H06","W0118",0.0247,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.04,"W0118.0hr",0.046,-0.006,-0.242914979757085,"CDCc2-13","Native","CDC"
"H07","W0119",0.0266,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0663,"W0119.0hr",0.0425,0.0238,0.894736842105263,"PI478440","Native","Bol"
"H08","W0119",0.0266,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0722,"W0119.0hr",0.0425,0.0297,1.11654135338346,"PI478440","Native","Bol"
"H09","W0119",0.0266,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0651,"W0119.0hr",0.0425,0.0226,0.849624060150376,"PI478440","Native","Bol"
"H10","W0120",0.0309,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0659,"W0120.0hr",0.0431,0.0228,0.737864077669903,"MUSs2-01","Native","MUS"
"H11","W0120",0.0309,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0672,"W0120.0hr",0.0431,0.0241,0.779935275080906,"MUSs2-01","Native","MUS"
"H12","W0120",0.0309,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.067,"W0120.0hr",0.0431,0.0239,0.773462783171521,"MUSs2-01","Native","MUS"
"A01","W0513",0.0055,1,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0805,"W0513.0hr",0.0454,0.0351,6.38181818181818,"CDCc2-06-02","Native","CDC"
"A02","W0513",0.0055,2,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0875,"W0513.0hr",0.0454,0.0421,7.65454545454545,"CDCc2-06-02","Native","CDC"
"A03","W0513",0.0055,3,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.079,"W0513.0hr",0.0454,0.0336,6.10909090909091,"CDCc2-06-02","Native","CDC"
"A04","W0121",0.0562,1,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0837,"W0121.0hr",0.0435,0.0402,0.715302491103203,"DEB28-02","Native","DEB"
"A05","W0121",0.0562,2,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0775,"W0121.0hr",0.0435,0.034,0.604982206405694,"DEB28-02","Native","DEB"
"A06","W0121",0.0562,3,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0737,"W0121.0hr",0.0435,0.0302,0.537366548042705,"DEB28-02","Native","DEB"
"A07","W0122",0.0324,1,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0937,"W0122.0hr",0.0434,0.0503,1.55246913580247,"LIS20","Native","LIS"
"A08","W0122",0.0324,2,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0909,"W0122.0hr",0.0434,0.0475,1.46604938271605,"LIS20","Native","LIS"
"A09","W0122",0.0324,3,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0925,"W0122.0hr",0.0434,0.0491,1.51543209876543,"LIS20","Native","LIS"
"A10","W0514",0.0169,1,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0886,"W0514.0hr",0.0425,0.0461,2.72781065088757,"HIG13-01","Native","HIG"
"A11","W0514",0.0169,2,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0853,"W0514.0hr",0.0425,0.0428,2.53254437869822,"HIG13-01","Native","HIG"
"A12","W0514",0.0169,3,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0828,"W0514.0hr",0.0425,0.0403,2.38461538461538,"HIG13-01","Native","HIG"
"B01","W0123",0.0263,1,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0787,"W0123.0hr",0.0473,0.0314,1.19391634980989,"HIG11-02","Native","HIG"
"B02","W0123",0.0263,2,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0798,"W0123.0hr",0.0473,0.0325,1.23574144486692,"HIG11-02","Native","HIG"
"B03","W0123",0.0263,3,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0781,"W0123.0hr",0.0473,0.0308,1.17110266159696,"HIG11-02","Native","HIG"
"B04","W0515",0.0181,1,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0626,"W0515.0hr",0.0436,0.019,1.04972375690608,"NARc3-05","Native","NAR"
"B05","W0515",0.0181,2,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0628,"W0515.0hr",0.0436,0.0192,1.06077348066298,"NARc3-05","Native","NAR"
"B06","W0515",0.0181,3,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0626,"W0515.0hr",0.0436,0.019,1.04972375690608,"NARc3-05","Native","NAR"
"B07","W0124",0.0234,1,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0392,"W0124.0hr",0.0452,-0.006,-0.256410256410256,"NARc3-02","Native","NAR"
"B08","W0124",0.0234,2,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0401,"W0124.0hr",0.0452,-0.0051,-0.217948717948718,"NARc3-02","Native","NAR"
"B09","W0124",0.0234,3,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0396,"W0124.0hr",0.0452,-0.00559999999999999,-0.239316239316239,"NARc3-02","Native","NAR"
"B10","W0516",0.004,1,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0394,"W0516.0hr",0.0521,-0.0127,-3.175,"DEB31","Native","DEB"
"B11","W0516",0.004,2,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0393,"W0516.0hr",0.0521,-0.0128,-3.2,"DEB31","Native","DEB"
"B12","W0516",0.004,3,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0391,"W0516.0hr",0.0521,-0.013,-3.25,"DEB31","Native","DEB"
"C01","W0127",0.0214,1,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0421,"W0127.0hr",0.042,9.99999999999959e-05,0.00467289719626149,"LDSc3-07","Native","LDS"
