AssayID,Herbivore,CatStage,PlantID_Invasive,Genotype_Invasive,Population_Invasive,LfWt_Initial_Invasive,LfWt_Final_Invasive,PlantID_Native,Genotype_Native,Population_Native,LfWt_Initial_Native,LfWt_Final_Native,Pair
S055,Soybean,Looper,W0285,BHI33-10,BHI,0.0409,0.0112,W0452,NARc1-02,NAR,0.1381,0.1062,48
S056,Soybean,Looper,W0526,ARC21,ARC,0.0322,0.0145,W0524,AZN14,AZN,0.049,0.0216,70
S057,Soybean,Looper,W0527,DCR14,DCR,0.0311,0.0254,W0525,HIG27-02,HIG,0.0792,0.0697,49
S058,Soybean,Looper,W0529,BHI33-14,BHI,0.0399,0.029,W0528,FURc1-14,FUR,0.0298,0.0229,50
S060,Soybean,Looper,W0545,SDS2-04,SDS,0.0505,0.0394,W0532,RTM20,RTM,0.0399,0.0281,52
S061,Soybean,Looper,W0546,MLR14,MLR,0.0709,0.0589,W0533,SAN18-02,SAN,0.0857,0.0488,53
S062,Soybean,Looper,W0549,EMO14,EMO,0.0952,0.0456,W0535,ALT14,ALT,0.1195,0.0986,54
S064,Soybean,Looper,W0044,MLR16,MLR,0.0498,0.0414,W0045,DEB18,DEB,0.0507,0.0309,56
S065,Soybean,Looper,W0048,EMO15,EMO,0.0336,0.0178,W0046,MUSs1-11,MUS,0.0399,0.0351,57
S066,Soybean,Looper,W0050,DCR15,DCR,0.0448,0.0385,W0047,LDSc3-01,LDS,0.054,0.0475,58
S068,Soybean,Looper,W0059,BHI33-15,BHI,0.0668,0.0617,W0053,SCAc2-18,SCA,0.0599,0.0546,60
S069,Soybean,Looper,W0070,PEA23,PEA,0.0456,0.0291,W0054,LIS14,LIS,0.0495,0.0103,61
S070,Soybean,Looper,W0071,ARC22,ARC,0.0318,0.0197,W0058,HUE15,HUE,0.056,0.0461,62
S071,Soybean,Looper,W0073,SDS2-05,SDS,0.0671,0.0176,W0060,CRG15,CRG,0.0478,0.0282,63
